Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_223.jpg;-11.37544;1;0;0.8717157;100.0334;85.96278;1.193804;46.48548;0.0008281
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_264.jpg;-13.38828;1;0;0.9269093;100.0611;85.98759;1.204491;45.94333;-0.002328755
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_306.jpg;-12.38775;1;0;0.9640635;100.0901;86.0128;1.211332;45.35095;359.9935
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_349.jpg;-11.92852;1;0;0.9972011;100.1201;86.03876;1.21386;44.8035;-0.00186087
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_391.jpg;-9.93117;1;0;1.027163;100.1511;86.06519;1.208195;44.25956;0.003929513
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_432.jpg;-7.455085;1;0;1.055618;100.1831;86.09238;1.20562;43.76848;0.004212117
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_473.jpg;-4.944888;1;0;1.094329;100.2162;86.12089;1.219908;43.40815;0.003044287
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_516.jpg;-2.425164;1;0;1.124938;100.2672;86.16571;1.235816;43.1012;0.001022632
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_557.jpg;0;1;0;1.154493;100.3016;86.19695;1.233931;43.04982;-5.465418E-05
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_599.jpg;0;1;0;1.184043;100.3365;86.22914;1.223709;43.03621;-0.0006353792
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_641.jpg;0;1;0;1.223764;100.3728;86.26266;1.231897;43.027;-0.000738685
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_682.jpg;0;1;0;1.263774;100.4097;86.29681;1.229013;43.02066;-0.0008434023
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_724.jpg;0;1;0;1.29702;100.4476;86.33193;1.233928;42.99557;-0.0007636108
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_767.jpg;0;1;0;1.327159;100.4864;86.36781;1.234886;42.9887;-0.0009208487
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_809.jpg;0;1;0;1.359788;100.5262;86.40463;1.240039;42.9693;-0.0008133032
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_851.jpg;0;1;0;1.392557;100.5669;86.44226;1.243022;42.95511;-0.0008056182
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_892.jpg;0;1;0;1.422485;100.6085;86.48069;1.243411;42.94701;-0.0009208515
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_934.jpg;0;1;0;1.454228;100.651;86.52002;1.246391;42.93478;-0.0009104448
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_29_977.jpg;0;1;0;1.486584;100.7166;86.58059;1.251273;42.91985;-0.0009228825
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_019.jpg;0;1;0;1.516676;100.7615;86.62198;1.252976;42.9151;-0.0009764169
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_060.jpg;0;1;0;1.548741;100.8073;86.66423;1.256012;42.90685;-0.0009751371
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_102.jpg;0;1;0;1.578886;100.854;86.7073;1.256412;42.89878;-0.0009430062
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_144.jpg;0;1;0;1.625187;100.9016;86.75123;1.260343;42.89196;-0.0009929121
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_185.jpg;0;1;0;1.656009;100.9502;86.79598;1.264153;42.88466;-0.0009999588
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_227.jpg;0;1;0;1.687638;100.9996;86.84154;1.264675;42.87672;-0.0009793568
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_269.jpg;0;1;0;1.717424;101.05;86.88795;1.268089;42.87006;-0.001025206
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_313.jpg;0;1;0;1.748034;101.1013;86.93517;1.270879;42.86292;-0.001029638
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_356.jpg;0;1;0;1.779162;101.18;87.00758;1.277501;42.85179;-0.001062412
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_397.jpg;0;1;0;1.809058;101.2335;87.05682;1.27738;42.84394;-0.001032362
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_439.jpg;0;1;0;1.840047;101.288;87.10695;1.283016;42.83563;-0.001076718
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_481.jpg;0;1;0;1.869563;101.3433;87.15785;1.286047;42.82891;-0.001084726
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_522.jpg;0;1;0;1.915675;101.3995;87.20954;1.287071;42.82168;-0.00107213
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_564.jpg;0;1;0;1.945031;101.4566;87.26205;1.289173;42.81507;-0.001113336
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_606.jpg;0;1;0;1.975703;101.5147;87.31539;1.292962;42.80625;-0.001100634
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_648.jpg;0;1;0;2.004943;101.5736;87.36952;1.296521;42.80007;-0.001142055
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_691.jpg;0;1;0;2.034949;101.6334;87.42442;1.297031;42.79289;-0.00112759
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_733.jpg;0;1;0;2.065408;101.6941;87.48015;1.29877;42.78392;-0.00113485
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_775.jpg;0;1;0;2.094985;101.7868;87.56525;1.303682;42.77396;-0.001186946
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_817.jpg;0;1;0;2.124792;101.8497;87.62298;1.306765;42.76534;-0.001176646
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_860.jpg;0;1;0;2.154251;101.9134;87.68147;1.308537;42.75916;-0.001200399
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_901.jpg;0;1;0;2.183938;101.9781;87.74078;1.310351;42.75043;-0.001192393
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_943.jpg;0;1;0;2.213267;102.0436;87.80088;1.314604;42.74275;-0.001216894
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_30_984.jpg;0;1;0;2.257441;102.11;87.86171;1.313797;42.73583;-0.001211343
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_026.jpg;0;1;0;2.286606;102.1773;87.92337;1.316053;42.72766;-0.001218389
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_068.jpg;0;1;0;2.315716;102.2454;87.98582;1.320329;42.72007;-0.001244599
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_111.jpg;0;1;0;2.344266;102.3144;88.04902;1.322079;42.71404;-0.001270647
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_155.jpg;0;1;0;2.374058;102.4196;88.14528;1.32375;42.70116;-0.001259545
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_197.jpg;0;1;0;2.402978;102.4908;88.21045;1.326807;42.69348;-0.001270809
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_239.jpg;0;1;0;2.431842;102.5628;88.27639;1.330952;42.68601;-0.001296378
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_282.jpg;0;1;0;2.460655;102.6357;88.34306;1.331719;42.6799;-0.001304972
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_323.jpg;0;1;0;2.504043;102.7095;88.41048;1.330802;42.67087;-0.001295844
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_366.jpg;0;1;0;2.53267;102.7841;88.47868;1.331187;42.66274;-0.001294083
